Postnr;Bynavn;Udmeldt årsag:;Indmeldt dato:;Udmeldt dato:
0900;København C;;2024;
1055;København K;;2021;
1071;København K;;2012;
1074;København K;;2023;
1254;København K;Vi har solgt vores båd;2020;2025
1302;København K;;2020;
1302;København K;;2020;
1416;København K;;2024;
1432;København K;;2025;
1432;København K;;2020;
1432;København K;;2025;
1432;København K;;2023;
1432;København K;;2018;
1432;København K;;2019;
1432;København K;;2019;
1432;København K;;2019;
1432;København K;;2020;
1434;København K;;2025;
1435;København K;;2024;
1436;København K;;2015;
1436;København K;Vi har solgt vores båd;2021;2025
1436;København K;;2019;
1436;København K;;2020;
1436;København K;Vi har solgt vores båd;2016;2025
1436;København K;;2017;
1437;København K;;2023;
1437;København K;;2023;
1437;København K;Vi har solgt vores båd;2021;1905
1437;København K;;2021;
1453;København K;Vi har solgt vores båd;2022;2025
1463;København K;;2024;
1473;København K;;2023;
1657;København V;;2023;
1665;København V;;2024;
1665;København V;;2020;
1665;København V;;2025;
1665;København V;;2026;
1665;København V;;2020;
1666;København V;;2023;
1674;København V;;2025;
1674;København V;Vi har solgt vores båd;2019;2023
1700;København V;;2019;
1709;København V;;2016;
1709;København V;;2022;
1718;København V;;2023;
1737;København V;;2022;
1737;København V;;2024;
1738;København V;;2023;
1738;København V;;2023;
1739;København V;;2022;
1760;København V;;2012;
1760;København V;;2023;
1761;København V;;2023;
1773;København V;;2017;
1877;Frederiksberg C;;2024;
1879;Frederiksberg C;Vi har solgt vores båd;2022;2024
1879;Frederiksberg C;Vi har solgt vores båd;2015;2026
1900;Frederiksberg C;;2024;
1902;Frederiksberg C;;2024;
1902;Frederiksberg C;;2025;
1902;Frederiksberg C;;2020;
1906;Frederiksberg C;Vi har solgt vores båd;2020;2025
1912;Frederiksberg C;;2021;
1913;Frederiksberg C;;2012;
1915;Frederiksberg C;;2012;
1925;Frederiksberg C;;2025;
1107;København K;;2015;
1112;København K;;2023;
1123;København K;;2025;
1307;København K;;2022;
1307;København K;;2025;
1316;København K;;2019;
1316;København K;;2014;
1319;København K;;2016;2000
1358;København K;;2024;
1366;København K;;2020;
1366;København K;;2013;
1366;København K;;2020;
1370;København K;;2025;
1401;København K;;2025;
1401;København K;Vi har solgt vores båd;2020;2024
1401;København K;;2018;
1401;København K;;2017;
1401;København K;;2019;
1401;København K;;2020;
1401;København K;;2021;
1402;København K;;2021;
1402;København K;;2012;
1406;København K;;2015;
1408;København K;;2022;
1408;København K;;2024;
1408;København K;;2020;
1411;København K;;2020;
1411;København K;Vi har solgt vores båd;2023;2000
1552;København V;;2015;
1553;København V;;2024;
1577;København V;;2022;
1601;København V;Slettet - ingen kontakt;2021;2000
1601;København V;;2024;
1601;København V;;2025;
1812;Frederiksberg C;;2025;
1822;Frederiksberg C;;2024;
1825;Frederiksberg C;;2022;
1825;Frederiksberg C;;2018;
1850;Frederiksberg C;;2023;
1850;Frederiksberg C;;2024;
1850;Frederiksberg C;;2025;
1850;Frederiksberg C;;2022;
1850;Frederiksberg C;;2018;
1850;Frederiksberg C;;2021;
1850;Frederiksberg C;;2020;
1851;Frederiksberg C;;2023;
1855;Frederiksberg C;Vi har solgt vores båd;2021;2024
1855;Frederiksberg C;;2025;
2000;Frederiksberg;;2026;
2000;Frederiksberg;;2018;
2000;Frederiksberg;Vi har solgt vores båd;2023;2025
2000;Frederiksberg;;2019;
2000;Frederiksberg;Vi har solgt vores båd;2020;2026
2000;Frederiksberg;;2018;
