kommune,region,indbyggere,kvinder_pct,maend_pct,age_0_17,age_18_29,age_30_44,age_45_64,age_65_plus
København,Hovedstaden,673575,50.9,49.1,16.4,25.0,26.3,21.3,11.0
Frederiksberg,Hovedstaden,106537,52.8,47.2,16.1,21.9,21.1,23.3,17.6
Dragør,Hovedstaden,14453,51.1,48.9,22.3,7.7,14.9,29.2,26.0
Tårnby,Hovedstaden,44174,50.5,49.5,21.9,11.7,19.5,27.4,19.5
Albertslund,Hovedstaden,29269,50.5,49.5,20.4,17.0,19.3,24.8,18.4
Ballerup,Hovedstaden,53986,50.9,49.1,20.6,14.2,20.5,25.2,19.5
Brøndby,Hovedstaden,41012,50.2,49.8,20.2,16.5,21.9,23.7,17.7
Gentofte,Hovedstaden,75027,52.1,47.9,20.9,12.1,15.7,29.0,22.3
Gladsaxe,Hovedstaden,70949,50.2,49.8,21.5,14.8,20.9,25.4,17.4
Glostrup,Hovedstaden,25897,49.8,50.2,19.5,16.6,22.1,24.6,17.2
Herlev,Hovedstaden,32125,50.5,49.5,21.1,15.2,21.0,24.5,18.3
Hvidovre,Hovedstaden,54175,50.6,49.4,21.8,14.0,20.5,25.6,18.1
Høje-Taastrup,Hovedstaden,60557,49.5,50.5,20.5,16.6,22.9,23.8,16.2
Ishøj,Hovedstaden,24845,50.0,50.0,21.0,17.1,21.7,24.1,16.1
Lyngby-Taarbæk,Hovedstaden,58822,50.4,49.6,20.0,17.3,17.3,25.5,20.0
Rødovre,Hovedstaden,45133,50.6,49.4,21.0,14.2,22.0,24.8,18.1
Vallensbæk,Hovedstaden,18712,49.6,50.4,23.0,14.4,21.9,23.1,17.6
Allerød,Hovedstaden,26454,51.2,48.8,23.5,9.0,17.6,27.7,22.2
Egedal,Hovedstaden,46363,50.5,49.5,22.9,10.4,19.3,28.3,19.1
Fredensborg,Hovedstaden,42521,51.5,48.5,21.1,9.7,17.3,27.5,24.5
Frederikssund,Hovedstaden,47616,50.4,49.6,17.8,11.0,16.4,29.0,25.8
Furesø,Hovedstaden,42902,51.2,48.8,23.3,9.3,17.6,27.4,22.4
Gribskov,Hovedstaden,41845,50.6,49.4,16.6,9.7,14.2,29.4,30.1
Halsnæs,Hovedstaden,31686,50.0,50.0,16.3,10.0,15.2,29.1,29.4
Helsingør,Hovedstaden,64382,51.6,48.4,18.4,10.8,15.6,28.7,26.4
Hillerød,Hovedstaden,55288,50.7,49.3,20.3,13.2,19.0,27.4,20.1
Hørsholm,Hovedstaden,25359,52.8,47.2,19.4,9.2,14.4,27.8,29.2
Rudersdal,Hovedstaden,58088,51.1,48.9,21.9,11.1,15.7,27.4,23.9
Bornholm,Hovedstaden,38602,50.6,49.4,16.2,8.9,14.9,28.0,32.2
Greve,Sjælland,54121,50.8,49.2,21.4,11.5,19.0,27.2,21.0
Køge,Sjælland,63979,50.3,49.7,19.5,12.6,18.7,28.3,20.8
Lejre,Sjælland,29901,50.2,49.8,21.4,9.8,17.4,28.3,23.1
Roskilde,Sjælland,92931,51.1,48.9,19.7,14.4,17.5,27.6,20.7
Solrød,Sjælland,25094,50.5,49.5,22.8,10.9,19.0,27.2,20.2
Faxe,Sjælland,38154,49.0,51.0,17.6,11.3,17.8,28.8,24.5
Guldborgsund,Sjælland,59000,50.1,49.9,16.2,11.0,15.9,27.8,29.0
Holbæk,Sjælland,75054,50.5,49.5,19.1,12.2,17.5,27.9,23.3
Kalundborg,Sjælland,47922,49.3,50.7,16.8,11.7,16.6,28.5,26.5
Lolland,Sjælland,38457,48.9,51.1,14.6,9.9,14.7,28.4,32.4
Næstved,Sjælland,85104,50.3,49.7,18.1,13.2,17.5,27.5,23.7
Odsherred,Sjælland,31933,50.1,49.9,14.4,9.2,13.5,28.3,34.6
Ringsted,Sjælland,36009,49.6,50.4,19.3,13.3,19.2,28.6,19.7
Slagelse,Sjælland,80872,50.2,49.8,17.6,14.2,17.6,27.1,23.5
Sorø,Sjælland,30919,50.1,49.9,19.4,10.7,17.7,28.6,23.6
Stevns,Sjælland,23884,49.6,50.4,17.8,9.4,16.0,29.6,27.2
Vordingborg,Sjælland,44815,50.2,49.8,15.8,10.6,14.9,28.3,30.4
Assens,Syddanmark,40251,49.5,50.5,18.6,10.2,16.6,28.9,25.7
Faaborg-Midtfyn,Syddanmark,52304,49.9,50.1,19.0,10.1,17.3,27.5,26.1
Kerteminde,Syddanmark,24264,50.3,49.7,17.9,9.9,16.3,28.6,27.2
Langeland,Syddanmark,11802,49.2,50.8,12.3,7.8,12.2,28.4,39.3
Middelfart,Syddanmark,40654,50.2,49.8,19.1,10.1,16.7,28.8,25.3
Nordfyns,Syddanmark,29148,49.3,50.7,18.2,10.0,16.6,29.4,25.8
Nyborg,Syddanmark,32446,50.6,49.4,17.9,11.1,16.2,28.4,26.5
Odense,Syddanmark,213520,50.6,49.4,17.8,22.0,19.4,22.7,18.1
Svendborg,Syddanmark,60072,50.6,49.4,19.2,11.3,17.1,26.1,26.3
Ærø,Syddanmark,5746,50.4,49.6,13.4,7.9,11.6,28.3,38.9
Billund,Syddanmark,27188,49.1,50.9,19.9,11.7,18.7,26.7,23.0
Esbjerg,Syddanmark,114903,49.9,50.1,18.9,13.9,18.1,25.9,23.2
Fanø,Syddanmark,3330,52.7,47.3,16.0,6.0,11.2,27.6,39.2
Fredericia,Syddanmark,52892,49.6,50.4,18.3,12.9,18.2,27.8,22.8
Haderslev,Syddanmark,55221,49.7,50.3,18.2,12.1,16.7,27.6,25.4
Kolding,Syddanmark,96189,50.1,49.9,20.1,14.2,18.5,26.8,20.5
Sønderborg,Syddanmark,73982,49.6,50.4,17.7,12.7,16.0,27.5,26.1
Tønder,Syddanmark,36198,49.8,50.2,18.1,11.2,15.5,26.9,28.3
Varde,Syddanmark,49413,49.2,50.8,19.3,11.6,16.7,27.2,25.2
Vejen,Syddanmark,42637,48.9,51.1,19.9,12.0,17.9,27.3,22.8
Vejle,Syddanmark,123463,49.8,50.2,20.8,13.0,19.6,26.5,20.1
Aabenraa,Syddanmark,58320,49.8,50.2,18.5,11.4,16.1,27.7,26.2
Favrskov,Midtjylland,49862,49.8,50.2,23.1,10.3,19.1,27.5,20.0
Hedensted,Midtjylland,48709,48.7,51.3,20.0,11.4,18.1,28.4,22.1
Horsens,Midtjylland,98867,49.7,50.3,20.7,14.2,20.3,25.5,19.3
Norddjurs,Midtjylland,36507,49.4,50.6,16.7,11.7,15.8,27.6,28.2
Odder,Midtjylland,24345,51.2,48.8,19.8,10.0,16.9,27.1,26.1
Randers,Midtjylland,100621,50.1,49.9,19.2,13.5,18.6,26.9,21.7
Samsø,Midtjylland,3620,50.2,49.8,13.9,6.0,12.5,29.4,38.2
Silkeborg,Midtjylland,102903,50.3,49.7,21.6,12.0,19.4,26.2,20.9
Skanderborg,Midtjylland,66415,50.4,49.6,24.6,9.6,19.4,26.8,19.6
Syddjurs,Midtjylland,44433,50.0,50.0,19.2,9.5,16.5,27.5,27.3
Aarhus,Midtjylland,378386,51.0,49.0,17.3,27.4,19.8,20.0,15.5
Herning,Midtjylland,90636,49.7,50.3,20.1,13.7,18.1,26.5,21.6
Holstebro,Midtjylland,59388,49.9,50.1,20.3,14.2,17.6,25.4,22.6
Ikast-Brande,Midtjylland,43310,48.4,51.6,20.7,12.5,18.8,26.3,21.7
Lemvig,Midtjylland,18528,49.4,50.6,16.3,10.9,14.2,28.5,30.0
Ringkøbing-Skjern,Midtjylland,55323,49.2,50.8,19.1,12.3,16.1,27.3,25.3
Skive,Midtjylland,44035,49.2,50.8,17.3,11.9,15.8,27.5,27.4
Struer,Midtjylland,20112,50.0,50.0,17.2,10.8,14.6,27.8,29.5
Viborg,Midtjylland,97982,49.7,50.3,19.7,13.0,17.6,26.9,22.8
Brønderslev,Nordjylland,36598,49.1,50.9,20.6,11.1,17.9,26.8,23.5
Frederikshavn,Nordjylland,57446,49.5,50.5,16.2,10.3,15.6,28.2,29.7
Hjørring,Nordjylland,62964,49.9,50.1,18.0,11.5,16.2,27.5,26.8
Jammerbugt,Nordjylland,37945,49.6,50.4,18.8,10.4,16.2,27.6,26.9
Læsø,Nordjylland,1679,50.7,49.3,11.3,5.7,9.6,29.4,44.0
Mariagerfjord,Nordjylland,41528,48.9,51.1,18.1,11.0,17.0,27.9,26.0
Morsø,Nordjylland,19339,49.1,50.9,17.7,11.2,15.3,26.9,28.9
Rebild,Nordjylland,31279,49.3,50.7,23.2,9.9,19.7,26.0,21.2
Thisted,Nordjylland,42568,49.6,50.4,18.9,11.6,16.5,26.3,26.8
Vesthimmerlands,Nordjylland,35595,49.4,50.6,18.2,11.2,16.5,27.2,26.8
Aalborg,Nordjylland,226146,49.8,50.2,17.6,21.5,19.3,22.8,18.8
